Uniprot	Gene_name	Species
Q55EU4	DDB_G0268748	Dictyostelium discoideum
Q55F27	DDB_G0268656	Dictyostelium discoideum
Q55F45	DDB_G0268642	Dictyostelium discoideum
Q55FJ6	DDB_G0268078	Dictyostelium discoideum
Q55FS2	krsB	Dictyostelium discoideum
Q55FT4	tsuA	Dictyostelium discoideum
Q55FV4	fnkB	Dictyostelium discoideum
Q55FV5	DDB_G0268550	Dictyostelium discoideum
Q55G83	abkC	Dictyostelium discoideum
Q55G97	tbck	Dictyostelium discoideum
Q55GC2	dst2	Dictyostelium discoideum
Q55GE6	roco7	Dictyostelium discoideum
Q55GG4	DDB_G0267686	Dictyostelium discoideum
Q55GJ2	ireA	Dictyostelium discoideum
Q55GN6	DDB_G0267588	Dictyostelium discoideum
Q55GS2	scy1	Dictyostelium discoideum
Q55GS4	cdk10	Dictyostelium discoideum
Q55GU0	DDB_G0267514	Dictyostelium discoideum
Q55GV3	pakC	Dictyostelium discoideum
Q566J8	Coq8b	Mus musculus
Q56UN5	MAP3K19	Homo sapiens
Q571I4	Prag1	Mus musculus
Q58A45	PAN3	Homo sapiens
Q58CX7	DIPK2B	Bos taurus
Q58D94	MKNK1	Bos taurus
Q59H18	TNNI3K	Homo sapiens
Q5BJQ0	Coq8a	Rattus norvegicus
Q5BKK4	sgk1	Xenopus tropicalis
Q5CD18	TGFBR1	Sus scrofa
Q5CZZ9	Pip5k1b	Rattus norvegicus
Q5D891	PIK3C3	Sus scrofa
Q5E9J9	STRADA	Bos taurus
Q5E9L6	STK4	Bos taurus
Q5E9X2	MAP2K6	Bos taurus
Q5E9Y0	CDK2	Bos taurus
Q5EAB2	CDK9	Bos taurus
Q5EAK6	tefu	Drosophila melanogaster
Q5EG47	Prkaa1	Mus musculus
Q5F2E8	Taok1	Mus musculus
Q5F349	POMK	Gallus gallus
Q5F356	PIP4K2A	Gallus gallus
Q5F361	TBCK	Gallus gallus
Q5F3L1	RPS6KA5	Gallus gallus
Q5F3W3	MAPK6	Gallus gallus
Q5FVL3	Dipk1b	Rattus norvegicus
Q5GIG6	Tnni3k	Mus musculus
Q5GIT4	kdr	Danio rerio
Q5GLH2	TRIB2	Bos taurus
Q5I6B8	Pip5k1c	Rattus norvegicus
Q5JZY3	EPHA10	Homo sapiens
Q5M7P6	adck1	Xenopus tropicalis
Q5M9F8	Scyl1	Rattus norvegicus
Q5MAI5	CDKL4	Homo sapiens
Q5MD89	flt4	Danio rerio
Q5MJS3	Fam20c	Mus musculus
Q5MPA9	Dclk2	Rattus norvegicus
Q5PRD4	csnk1g1	Danio rerio
Q5PU49	PRKCD	Canis lupus familiaris
Q5PXE9	Ippk	Rattus norvegicus
Q5RGU1	coq8a	Danio rerio
Q5RH51	fam20b	Danio rerio
Q5RJI4	Pkdcc	Mus musculus
Q5RJI5	Brsk1	Mus musculus
Q5RKH1	Prp4k	Rattus norvegicus
Q5S006	Lrrk2	Mus musculus
Q5S007	LRRK2	Homo sapiens
Q5SDA5	Gucy2f	Mus musculus
Q5SUV5	Mylk4	Mus musculus
Q5SYL1	Rskr	Mus musculus
Q5T7M9	DIPK1A	Homo sapiens
Q5T9C9	PIP5KL1	Homo sapiens
Q5TCX8	MAP3K21	Homo sapiens
Q5TCY1	TTBK1	Homo sapiens
Q5U2N4	Mknk2	Rattus norvegicus
Q5U2X5	Tnk2	Rattus norvegicus
Q5U3H9	spire2	Danio rerio
Q5U3W1	pomk	Danio rerio
Q5U4C9	Dyrk2	Mus musculus
Q5U5V2	Hykk	Mus musculus
Q5VJL3	gdt9	Dictyostelium discoideum
Q5VST9	OBSCN	Homo sapiens
Q5VT25	CDC42BPA	Homo sapiens
Q5VUD6	DIPK1B	Homo sapiens
Q5XIL2	Pi4k2b	Rattus norvegicus
Q5XIS9	Prkd2	Rattus norvegicus
Q5XIT0	Cdkl2	Rattus norvegicus
Q5XJV6	Lmtk3	Mus musculus
Q5ZHT1	ACAD11	Gallus gallus
Q5ZIK0	PI4K2B	Gallus gallus
Q5ZIU3	DYRK2	Gallus gallus
Q5ZJ58	PIP5K1B	Gallus gallus
Q5ZJB4	CHUK	Gallus gallus
Q5ZJH6	ULK3	Gallus gallus
Q5ZJK4	STK4	Gallus gallus
Q5ZJS0	CSNK1G1	Gallus gallus
Q5ZK47	STRADA	Gallus gallus
Q5ZKI0	CAMK2D	Gallus gallus
Q5ZKN1	CDK9	Gallus gallus
Q5ZLL1	CSNK1E	Gallus gallus
Q5ZMT7	ADCK1	Gallus gallus
Q60592	Mast2	Mus musculus
Q60629	Epha5	Mus musculus
Q60670	Sik1	Mus musculus
Q60680	Chuk	Mus musculus
Q60700	Map3k12	Mus musculus
Q60737	Csnk2a1	Mus musculus
Q60750	Epha1	Mus musculus
Q60751	Igf1r	Mus musculus
Q60805	Mertk	Mus musculus
Q60806	Plk3	Mus musculus
Q60823	Akt2	Mus musculus
Q60855	Ripk1	Mus musculus
Q60936	Coq8a	Mus musculus
Q61006	Musk	Mus musculus
Q61036	Pak3	Mus musculus
Q61083	Map3k2	Mus musculus
Q61084	Map3k3	Mus musculus
Q61097	Ksr1	Mus musculus
Q61136	Prp4k	Mus musculus
Q61161	Map4k2	Mus musculus
Q61194	Pik3c2a	Mus musculus
Q61214	Dyrk1a	Mus musculus
Q61241	Tssk1b	Mus musculus
Q61271	Acvr1b	Mus musculus
Q61288	Acvrl1	Mus musculus
Q61410	Prkg2	Mus musculus
Q61526	Erbb3	Mus musculus
Q61527	Erbb4	Mus musculus
Q61532	Mapk6	Mus musculus
Q61772	Epha7	Mus musculus
Q61831	Mapk10	Mus musculus
Q61846	Melk	Mus musculus
Q61851	Fgfr3	Mus musculus
Q62070	Pim2	Mus musculus
Q62073	Map3k7	Mus musculus
Q62074	Prkci	Mus musculus
Q62101	Prkd1	Mus musculus
Q62120	Jak2	Mus musculus
Q62137	Jak3	Mus musculus
Q62190	Mst1r	Mus musculus
Q62270	Srms	Mus musculus
Q62312	Tgfbr2	Mus musculus
Q62371	Ddr2	Mus musculus
Q62388	Atm	Mus musculus
Q62406	Irak1	Mus musculus
Q62407	Speg	Mus musculus
Q62413	Epha6	Mus musculus
Q62662	Frk	Rattus norvegicus
Q62673	Plk1	Rattus norvegicus
Q62689	Jak2	Rattus norvegicus
Q62726	Cilk1	Rattus norvegicus
Q62761	Csnk1g1	Rattus norvegicus
Q62762	Csnk1g2	Rattus norvegicus
Q62763	Csnk1g3	Rattus norvegicus
Q62799	Erbb3	Rattus norvegicus
Q62829	Pak3	Rattus norvegicus
Q62833	Grk5	Rattus norvegicus
Q62838	Musk	Rattus norvegicus
Q62844	Fyn	Rattus norvegicus
Q62862	Map2k5	Rattus norvegicus
Q62868	Rock2	Rattus norvegicus
Q62893	Amhr2	Rattus norvegicus
Q62915	Cask	Rattus norvegicus
Q62925	Map3k1	Rattus norvegicus
Q62956	Erbb4	Rattus norvegicus
Q63092	Camkv	Rattus norvegicus
Q63117	Clk3	Rattus norvegicus
Q63132	Ros1	Rattus norvegicus
Q63184	Eif2ak2	Rattus norvegicus
Q63185	Eif2ak1	Rattus norvegicus
Q63272	Jak3	Rattus norvegicus
Q63285	Uhmk1	Rattus norvegicus
Q63433	Pkn1	Rattus norvegicus
Q63450	Camk1	Rattus norvegicus
Q63454	Mapk4	Rattus norvegicus
Q63470	Dyrk1a	Rattus norvegicus
Q63474	Ddr1	Rattus norvegicus
Q63484	Akt3	Rattus norvegicus
Q63531	Rps6ka1	Rattus norvegicus
Q63538	Mapk12	Rattus norvegicus
Q63553	Snrk	Rattus norvegicus
Q63562	Map3k8	Rattus norvegicus
Q63572	Tesk1	Rattus norvegicus
Q63604	Ntrk2	Rattus norvegicus
Q63638	Speg	Rattus norvegicus
Q63644	Rock1	Rattus norvegicus
Q63651	Grk1	Rattus norvegicus
Q63686	Cdk16	Rattus norvegicus
Q63699	Cdk2	Rattus norvegicus
Q63796	Map3k12	Rattus norvegicus
Q63802	Wee1	Rattus norvegicus
Q63844	Mapk3	Mus musculus
Q63932	Map2k2	Mus musculus
Q640Q5	Pan3	Mus musculus
Q641K5	Nuak1	Mus musculus
Q641Z4	Cdk9	Rattus norvegicus
Q64261	Cdk6	Mus musculus
Q64303	Pak2	Rattus norvegicus
Q64434	Ptk6	Mus musculus
Q64595	Prkg2	Rattus norvegicus
Q64617	Prkch	Rattus norvegicus
Q64702	Plk4	Mus musculus
Q64716	Insrr	Rattus norvegicus
Q64725	Syk	Rattus norvegicus
Q64729	Tgfbr1	Mus musculus
Q66H84	Mapkapk3	Rattus norvegicus
Q66HA1	Map3k11	Rattus norvegicus
Q66HE5	Nuak2	Rattus norvegicus
Q66HE7	Cdkl1	Rattus norvegicus
Q66I46	mknk2	Xenopus tropicalis
Q66JF3	mknk1	Xenopus tropicalis
Q66JT0	Wee2	Mus musculus
Q66L42	Map3k10	Mus musculus
Q66T47	ACVR2B	Sus scrofa
Q67E00	dstyk	Xenopus tropicalis
Q696W0	speg	Danio rerio
Q69Z38	Peak1	Mus musculus
Q69Z98	Brsk2	Mus musculus
Q69ZA1	Cdk13	Mus musculus
Q69ZM6	Stk36	Mus musculus
Q6A1A2	PDPK2P	Homo sapiens
Q6AWJ9	otk	Drosophila melanogaster
Q6AXJ9	cdkl1	Danio rerio
Q6AY19	Coq8b	Rattus norvegicus
Q6B9X6	vwkA	Dictyostelium discoideum
Q6DBX4	mastl	Danio rerio
Q6DEH3	camk2d1	Danio rerio
Q6DGS3	camk2d2	Danio rerio
Q6DHU8	pbk	Danio rerio
Q6DT37	CDC42BPG	Homo sapiens
Q6EWH2	fyna	Danio rerio
Q6GL14	pip4k2c	Xenopus tropicalis
Q6GLD8	cdk9	Xenopus tropicalis
Q6IQ55	TTBK2	Homo sapiens
Q6IQE1	pip4k2c	Danio rerio
Q6J9G0	STYK1	Homo sapiens
Q6J9G1	Styk1	Mus musculus
Q6JQN1	ACAD10	Homo sapiens
Q6NSM8	zgc:66101	Danio rerio
Q6NSR3	Adck2	Mus musculus
Q6NW76	aurkb	Danio rerio
Q6P0Q8	MAST2	Homo sapiens
Q6P1C1	Ippk	Mus musculus
Q6P2M8	PNCK	Homo sapiens
Q6P3K7	csnk1db	Danio rerio
Q6P3N6	cdk8	Xenopus tropicalis
Q6P3Q4	stk4	Xenopus tropicalis
Q6P3R8	NEK5	Homo sapiens
Q6P3W7	SCYL2	Homo sapiens
Q6P4S6	Sik3	Mus musculus
Q6P5G0	Mapk4	Mus musculus
Q6P5Z2	PKN3	Homo sapiens
Q6P647	csnk1d	Xenopus tropicalis
Q6P6U0	Fgr	Rattus norvegicus
Q6P9R2	Oxsr1	Mus musculus
Q6PCN3	Ttbk1	Mus musculus
Q6PD10	Ip6k1	Mus musculus
Q6PDN3	Mylk	Mus musculus
Q6PE18	pi4k2a	Danio rerio
Q6PF93	Pik3c3	Mus musculus
Q6PFQ0	rps6ka6	Danio rerio
Q6PGN3	Dclk2	Mus musculus
Q6PHR2	ULK3	Homo sapiens
Q6PHZ2	Camk2d	Mus musculus
Q6PQD5	ATM	Sus scrofa
Q6QNF3	PDGFRB	Canis lupus familiaris
Q6R2V0	WNK1	Sus scrofa
Q6SA08	TSSK4	Homo sapiens
Q6TJY3	RPS6KB1	Bos taurus
Q6TL19	Gucy2g	Mus musculus
Q6U1I9	SGK1	Gallus gallus
Q6U7H8	Pip5kl1	Mus musculus
Q6VAB6	KSR2	Homo sapiens
Q6VNS1	Ntrk3	Mus musculus
Q6VVW5	Npr2	Mus musculus
Q6XHA5	roco11	Dictyostelium discoideum
Q6XHA6	roco10	Dictyostelium discoideum
Q6XHA7	roco9	Dictyostelium discoideum
Q6XHB2	roco4	Dictyostelium discoideum
Q6XUX0	DSTYK	Gallus gallus
Q6XUX1	Dstyk	Mus musculus
Q6XUX2	Dstyk	Rattus norvegicus
Q6XUX3	DSTYK	Homo sapiens
Q6ZMQ8	AATK	Homo sapiens
Q6ZN16	MAP3K15	Homo sapiens
Q6ZQ29	Taok2	Mus musculus
Q6ZWH5	NEK10	Homo sapiens
Q709F0	ACAD11	Homo sapiens
Q70PP2	nonC	Drosophila melanogaster
Q75JK0	zakA	Dictyostelium discoideum
Q75JN1	ifkC	Dictyostelium discoideum
Q75R65	JAK2	Gallus gallus
Q75ZY9	MET	Canis lupus familiaris
Q769I5	MET	Bos taurus
Q76MJ5	ERN2	Homo sapiens
Q76NI1	KNDC1	Homo sapiens
Q76NV1	dyrk1	Dictyostelium discoideum
Q76P07	DDB_G0277165	Dictyostelium discoideum
Q78DX7	Ros1	Mus musculus
Q78EA7	Bmpr1a	Rattus norvegicus
Q7JP68	F47F2.1	Caenorhabditis elegans
Q7JQ32	Gyc76C	Drosophila melanogaster
Q7KRY6	ball	Drosophila melanogaster
Q7KZI7	MARK2	Homo sapiens
Q7L7X3	TAOK1	Homo sapiens
Q7M6U3	Tex14	Mus musculus
Q7PLI7	CG17528	Drosophila melanogaster
Q7RTN6	STRADA	Homo sapiens
Q7SXE8	cdk9	Danio rerio
Q7SY24	prkcbb	Danio rerio
Q7SY49	camkv	Danio rerio
Q7SY52	stk10	Danio rerio
Q7T0B0	stk40	Xenopus tropicalis
Q7T0B1	STK40	Gallus gallus
Q7T2E3	csnk1da	Danio rerio
Q7TNJ7	Camk1g	Rattus norvegicus
Q7TNL3	Stk40	Mus musculus
Q7TNL4	Stk40	Rattus norvegicus
Q7TNZ6	Strada	Rattus norvegicus
Q7TPK6	Wnk4	Rattus norvegicus
Q7TPS0	Rps6ka6	Mus musculus
Q7TQP6	Tnni3k	Rattus norvegicus
Q7TS72	Itpkc	Mus musculus
Q7TSC3	Nek5	Mus musculus
Q7TSE6	Stk38l	Mus musculus
Q7TSJ6	Lats2	Mus musculus
Q7TT16	Ipmk	Mus musculus
Q7TT49	Cdc42bpb	Rattus norvegicus
Q7TT50	Cdc42bpb	Mus musculus
Q7YRC6	AURKB	Bos taurus
Q7Z2Y5	NRK	Homo sapiens
Q7Z695	ADCK2	Homo sapiens
Q7ZTW4	sgk1	Danio rerio
Q7ZUQ3	stk3	Danio rerio
Q7ZUS1	vrk1	Danio rerio
Q7ZVS3	plk4	Danio rerio
Q80UE6	Wnk4	Mus musculus
Q80UW5	Cdc42bpg	Mus musculus
Q80V03	Adck5	Mus musculus
Q80V72	Ip6k2	Mus musculus
Q80X41	Vrk1	Mus musculus
Q80XI4	Pip4k2b	Mus musculus
Q80XI6	Map3k11	Mus musculus
Q80XL6	Acad11	Mus musculus
Q80XP9	Wnk3	Mus musculus
Q80Y86	Mapk15	Mus musculus
Q80YE4	Aatk	Mus musculus
Q80YE7	Dapk1	Mus musculus
Q80YP0	Cdk3	Mus musculus
Q80YS9	Stkld1	Mus musculus
Q80YV3	Trrap	Mus musculus
Q80ZG2	Itpkc	Rattus norvegicus
Q80ZW0	Stk35	Mus musculus
Q810W7	Mast1	Rattus norvegicus
Q811L6	Mast4	Mus musculus
Q863I2	OXSR1	Sus scrofa
Q869L4	fnkA	Dictyostelium discoideum
Q869N2	pakB	Dictyostelium discoideum
Q869T7	pakF	Dictyostelium discoideum
Q869T9	etnkA	Dictyostelium discoideum
Q869W6	DDB_G0275057	Dictyostelium discoideum
Q869X3	DDB_G0275165	Dictyostelium discoideum
Q86A12	sky1	Dictyostelium discoideum
Q86AD7	DDB_G0271550	Dictyostelium discoideum
Q86AE1	DDB_G0271538	Dictyostelium discoideum
Q86AT8	spkA-1	Dictyostelium discoideum
Q86C65	tor	Dictyostelium discoideum
Q86CS2	atg1	Dictyostelium discoideum
Q86GV3	gcy-28	Caenorhabditis elegans
Q86HG9	DDB_G0271682	Dictyostelium discoideum
Q86HN7	PLK	Dictyostelium discoideum
Q86HW6	DDB_G0276461	Dictyostelium discoideum
Q86I06	nek3	Dictyostelium discoideum
Q86IX1	dst1	Dictyostelium discoideum
Q86ME2	drl-1	Caenorhabditis elegans
Q86SG6	NEK8	Homo sapiens
Q86TB3	ALPK2	Homo sapiens
Q86TW2	ADCK1	Homo sapiens
Q86UE8	TLK2	Homo sapiens
Q86UX6	STK32C	Homo sapiens
Q86V86	PIM3	Homo sapiens
Q86Y07	VRK2	Homo sapiens
Q86YV5	PRAG1	Homo sapiens
Q86YV6	MYLK4	Homo sapiens
Q86Z02	HIPK1	Homo sapiens
Q8AXB3	kdrl	Danio rerio
Q8AXY6	MUSK	Gallus gallus
Q8AYC9	CHEK1	Gallus gallus
Q8AYG3	ttk	Danio rerio
Q8BG48	Stk17b	Mus musculus
Q8BGW6	Stk32a	Mus musculus
Q8BHI9	Nim1k	Mus musculus
Q8BI55	Dyrk4	Mus musculus
Q8BK63	Csnk1a1	Mus musculus
Q8BKC8	Pi4kb	Mus musculus
Q8BKG3	Ptk7	Mus musculus
Q8BKX6	Smg1	Mus musculus
Q8BLF2	Cdkl3	Mus musculus
Q8BLK9	Rps6kc1	Mus musculus
Q8BM85	Tbck	Mus musculus
Q8BN21	Vrk2	Mus musculus
Q8BPM2	Map4k5	Mus musculus
Q8BQT2	Dipk1c	Mus musculus
Q8BRK8	Prkaa2	Mus musculus
Q8BSK8	Rps6kb1	Mus musculus
Q8BTH8	Csnk1g1	Mus musculus
Q8BTI9	Pik3cb	Mus musculus
Q8BTW9	Pak4	Mus musculus
Q8BVP5	Csnk1g2	Mus musculus
Q8BW96	Camk1d	Mus musculus
Q8BWD2	Ip6k3	Mus musculus
Q8BWD8	Cdk19	Mus musculus
Q8BWQ5	Dclk3	Mus musculus
Q8BWW9	Pkn2	Mus musculus
Q8BX57	Pxk	Mus musculus
Q8BYC6	Taok3	Mus musculus
Q8BYG9	Epha10	Mus musculus
Q8BYR2	Lats1	Mus musculus
Q8BZ03	Prkd2	Mus musculus
Q8BZ25	Ankk1	Mus musculus
Q8BZN4	Nuak2	Mus musculus
Q8C015	Pak5	Mus musculus
Q8C050	Rps6ka5	Mus musculus
Q8C078	Camkk2	Mus musculus
Q8C0N0	Gm4922	Mus musculus
Q8C0P0	Mastl	Mus musculus
Q8C0Q4	Nek11	Mus musculus
Q8C0V0	Tlk1	Mus musculus
Q8C0V7	Stk-ps2	Mus musculus
Q8C0X8	NA	Mus musculus
Q8C1R0	Tssk5	Mus musculus
Q8C3I9	Dipk2b	Mus musculus
Q8C4X2	Csnk1g3	Mus musculus
Q8CBF3	Ephb1	Mus musculus
Q8CBQ5	Pi4k2b	Mus musculus
Q8CDB0	Mknk2	Mus musculus
Q8CE90	Map2k7	Mus musculus
Q8CEE6	Pask	Mus musculus
Q8CEQ0	Cdkl1	Mus musculus
Q8CFA1	Irak2	Mus musculus
Q8CFE4	Scyl2	Mus musculus
Q8CFH6	Sik2	Mus musculus
Q8CID3	Fam20a	Mus musculus
Q8CIN4	Pak2	Mus musculus
Q8CIP4	Mark4	Mus musculus
Q8CIR4	Trpm6	Mus musculus
Q8I113	mnk-1	Caenorhabditis elegans
Q8I4N4	daf-11	Caenorhabditis elegans
Q8I7I5	rol-3	Caenorhabditis elegans
Q8I7M8	pct-1	Caenorhabditis elegans
Q8I8U7	Nipped-A	Drosophila melanogaster
Q8IMC6	Asator	Drosophila melanogaster
Q8INB9	Akt	Drosophila melanogaster
Q8IR79	LIMK1	Drosophila melanogaster
Q8IU85	CAMK1D	Homo sapiens
Q8IV63	VRK3	Homo sapiens
Q8IVH8	MAP4K3	Homo sapiens
Q8IVT5	KSR1	Homo sapiens
Q8IVW4	CDKL3	Homo sapiens
Q8IW41	MAPKAPK5	Homo sapiens
Q8IWB6	TEX14	Homo sapiens
Q8IWQ3	BRSK2	Homo sapiens
Q8IWU2	LMTK2	Homo sapiens
Q8IXL6	FAM20C	Homo sapiens
Q8IY84	NIM1K	Homo sapiens
Q8IYT8	ULK2	Homo sapiens
Q8IZE3	SCYL3	Homo sapiens
Q8IZL9	CDK20	Homo sapiens
Q8JFR5	kita	Danio rerio
Q8JG38	fgfr2	Danio rerio
Q8JH47	cdk8	Danio rerio
Q8JH64	BTK	Gallus gallus
Q8K045	Pkn3	Mus musculus
Q8K0D0	Cdk17	Mus musculus
Q8K1R7	Nek9	Mus musculus
Q8K1S6	Spire2	Mus musculus
Q8K1Y2	Prkd3	Mus musculus
Q8K274	Fn3krp	Mus musculus
Q8K348	Acvr1c	Mus musculus
Q8K370	Acad10	Mus musculus
Q8K3G5	Vrk3	Mus musculus
Q8K3H5	Myo3a	Mus musculus
Q8K4B2	Irak3	Mus musculus
Q8K4K2	Trib3	Mus musculus
Q8K4K3	Trib2	Mus musculus
Q8K4K4	Trib1	Mus musculus
Q8K4T3	Stradb	Mus musculus
Q8K592	Amhr2	Mus musculus
Q8MJ44	PRKACA	Canis lupus familiaris
Q8MQ70	hpk-1	Caenorhabditis elegans
Q8MVR1	gbpC	Dictyostelium discoideum
Q8MXI4	pmk-2	Caenorhabditis elegans
Q8MY12	mhkC	Dictyostelium discoideum
Q8MYF1	DDB_G0277449	Dictyostelium discoideum
Q8MYQ1	F31E3.2	Caenorhabditis elegans
Q8N165	PDIK1L	Homo sapiens
Q8N2I9	STK40	Homo sapiens
Q8N4C8	MINK1	Homo sapiens
Q8N568	DCLK2	Homo sapiens
Q8N5S9	CAMKK1	Homo sapiens
Q8N752	CSNK1A1L	Homo sapiens
Q8NB16	MLKL	Homo sapiens
Q8NCB2	CAMKV	Homo sapiens
Q8NDZ4	DIPK2A	Homo sapiens
Q8NE28	STKLD1	Homo sapiens
Q8NE63	HIPK4	Homo sapiens
Q8NEB9	PIK3C3	Homo sapiens
Q8NER5	ACVR1C	Homo sapiens
Q8NEV1	CSNK2A3	Homo sapiens
Q8NEV4	MYO3A	Homo sapiens
Q8NFD2	ANKK1	Homo sapiens
Q8NFU5	IPMK	Homo sapiens
Q8NG66	NEK11	Homo sapiens
Q8NI60	COQ8A	Homo sapiens
Q8QFP8	LIMK1	Gallus gallus
Q8QGX4	PRKDC	Gallus gallus
Q8QHL3	FLT1	Gallus gallus
Q8QZR7	Pdik1l	Mus musculus
Q8QZV4	Stk32c	Mus musculus
Q8QZX0	Sbk1	Mus musculus
Q8R071	Itpka	Mus musculus
Q8R2S1	Rps6kl1	Mus musculus
Q8R3L8	Cdk8	Mus musculus
Q8R4K2	Irak4	Mus musculus
Q8R4U9	Sgk2	Rattus norvegicus
Q8R4V0	Sgk3	Rattus norvegicus
Q8SSS9	qkgA-1	Dictyostelium discoideum
Q8SSV3	mkcD	Dictyostelium discoideum
Q8SSY6	DDB_G0276527	Dictyostelium discoideum
Q8T0S6	hpo	Drosophila melanogaster
Q8T126	fnkC	Dictyostelium discoideum
Q8T2I8	sepA	Dictyostelium discoideum
Q8TAS1	UHMK1	Homo sapiens
Q8TBX8	PIP4K2C	Homo sapiens
Q8TCG2	PI4K2B	Homo sapiens
Q8TD08	MAPK15	Homo sapiens
Q8TD19	NEK9	Homo sapiens
Q8TDC3	BRSK1	Homo sapiens
Q8TDR2	STK35	Homo sapiens
Q8TDX7	NEK7	Homo sapiens
Q8TEA7	TBCK	Homo sapiens
Q8TF76	HASPIN	Homo sapiens
Q8VBY2	Camkk1	Mus musculus
Q8VCR8	Mylk2	Mus musculus
Q8VCS3	Fam20b	Mus musculus
Q8VCT9	Tesk2	Mus musculus
Q8VD65	Pik3r4	Mus musculus
Q8VDF3	Dapk2	Mus musculus
Q8VDG6	Map3k21	Mus musculus
Q8VDU5	Snrk	Mus musculus
Q8VEB1	Grk5	Mus musculus
Q8VHF0	Mark3	Rattus norvegicus
Q8VHJ5	Mark1	Mus musculus
Q8WMV0	GRK7	Bos taurus
Q8WN22	PRKDC	Canis lupus familiaris
Q8WP15	GRK7	Sus scrofa
Q8WQ99	csnk-1	Caenorhabditis elegans
Q8WQG9	jnk-1	Caenorhabditis elegans
Q8WQL7	mbk-1	Caenorhabditis elegans
Q8WTQ7	GRK7	Homo sapiens
Q8WU08	STK32A	Homo sapiens
Q8WWL2	SPIRE2	Homo sapiens
Q8WXR4	MYO3B	Homo sapiens
Q8WZ42	TTN	Homo sapiens
Q90413	fgfr4	Danio rerio
Q90669	ACVR2A	Gallus gallus
Q90670	ACVR2B	Gallus gallus
Q90891	MAP2K2	Gallus gallus
Q90999	TGFBR2	Gallus gallus
Q90XC2	nek8	Danio rerio
Q90XF2	prkci	Danio rerio
Q90Z00	fgfr1a	Danio rerio
Q90ZK6	ACVR1	Gallus gallus
Q90ZY4	sbk1	Danio rerio
Q90ZY6	tlk1b	Danio rerio
Q91009	NTRK1	Gallus gallus
Q91044	NTRK3	Gallus gallus
Q91048	PTK7	Gallus gallus
Q91987	NTRK2	Gallus gallus
Q91V36	Nrbp2	Mus musculus
Q91VB2	Camk1g	Mus musculus
Q91VJ4	Stk38	Mus musculus
Q91XS8	Stk17b	Rattus norvegicus
Q91XU3	Pip4k2c	Mus musculus
Q91Y86	Mapk8	Mus musculus
Q91YA2	Pskh1	Mus musculus
Q91YS8	Camk1	Mus musculus
Q91Z96	Bmp2k	Mus musculus
Q91ZB0	Alpk2	Mus musculus
Q91ZN7	Chek1	Rattus norvegicus
Q91ZR4	Nek8	Mus musculus
Q91ZT1	Flt4	Rattus norvegicus
Q922K9	Frk	Mus musculus
Q922Q2	Riok1	Mus musculus
Q922R0	Prkx	Mus musculus
Q922Y0	Dyrk3	Mus musculus
Q923J1	Trpm7	Mus musculus
Q923T9	Camk2g	Mus musculus
Q924C5	Alpk3	Mus musculus
Q924I2	Map4k3	Rattus norvegicus
Q924U5	Tesk2	Rattus norvegicus
Q924X7	Stk33	Mus musculus
Q92519	TRIB2	Homo sapiens
Q92551	IP6K1	Homo sapiens
Q925B3	Trpm7	Rattus norvegicus
Q925K9	Tssk6	Mus musculus
Q92630	DYRK2	Homo sapiens
Q92772	CDKL2	Homo sapiens
Q92918	MAP4K1	Homo sapiens
Q94125	age-1	Caenorhabditis elegans
Q95126	ACVR2B	Bos taurus
Q95266	CAMK2D	Sus scrofa
Q95KV0	IKBKB	Bos taurus
Q95KV1	CHUK	Bos taurus
Q95PZ9	spe-6	Caenorhabditis elegans
Q95Q34	riok-2	Caenorhabditis elegans
Q95Q62	lfe-2	Caenorhabditis elegans
Q95Q95	let-363	Caenorhabditis elegans
Q95QC4	zyg-8	Caenorhabditis elegans
Q95RR8	PAN3	Drosophila melanogaster
Q95T10	CG3631	Drosophila melanogaster
Q95UN8	slpr	Drosophila melanogaster
Q95YD4	kin-32	Caenorhabditis elegans
Q95YH0	cdk8	Dictyostelium discoideum
Q95ZQ4	aak-2	Caenorhabditis elegans
Q95ZV7	ddr-2	Caenorhabditis elegans
Q965G5	mak-2	Caenorhabditis elegans
Q968Y9	daf-2	Caenorhabditis elegans
Q96BR1	SGK3	Homo sapiens
Q96C45	ULK4	Homo sapiens
Q96D53	COQ8B	Homo sapiens
Q96DU7	ITPKC	Homo sapiens
Q96GD4	AURKB	Homo sapiens
Q96GX5	MASTL	Homo sapiens
Q96J92	WNK4	Homo sapiens
Q96KB5	PBK	Homo sapiens
Q96KG9	SCYL1	Homo sapiens
Q96L34	MARK4	Homo sapiens
Q96L96	ALPK3	Homo sapiens
Q96LW2	RSKR	Homo sapiens
Q96MK3	FAM20A	Homo sapiens
Q96NX5	CAMK1G	Homo sapiens
Q96PC2	IP6K3	Homo sapiens
Q96PF2	TSSK2	Homo sapiens
Q96PN8	TSSK3	Homo sapiens
Q96PY6	NEK1	Homo sapiens
Q96Q04	LMTK3	Homo sapiens
Q96Q15	SMG1	Homo sapiens
Q96Q40	CDK15	Homo sapiens
Q96QP1	ALPK1	Homo sapiens
Q96QS6	PSKH2	Homo sapiens
Q96QT4	TRPM7	Homo sapiens
Q96RG2	PASK	Homo sapiens
Q96RR4	CAMKK2	Homo sapiens
Q96RU7	TRIB3	Homo sapiens
Q96RU8	TRIB1	Homo sapiens
